Kunta,C,100;Mjtunnus,N,10,0;Kohdenimi,C,100;Ajoitus,C,254;Tyyppi,C,100;Alatyyppi,C,100;Laji,C,100;I,N,31,15;P,N,31,15;Paikannust,N,10,0;Paikannu00,N,10,0;Selite,C,254;Tuhoutunut,C,100;Luontipvm,D;Muutospvm,D;Zala,N,14,2;Zylä,N,14,2;Vedenalain,C,1
Hanko;1407;Asa Finn;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;268860.601;6639556.492;11002;0;Paikannettu Merivoimien sukeltajakurssin 2006 ilmoittamien koordinaattien mukaan.;Ei;12.11.01;28.01.11;0.00;0.00;k
Hanko;1411;Låglandet länsiranta;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;271590.524;6636025.927;11002;0;Tarkastussukelluksen 2001 karttaliitteen mukaan  paikannettu;Ei;13.11.01;28.01.11;0.00;0.00;k
Inkoo;1421;Vormö Notudden;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;345350.764;6656658.016;11002;0;Paikannettu ilmoituksen karttaliitteen mukaan;Ei;13.11.01;28.01.11;0.00;0.00;k
Hanko;1380;Halsholmen eteläpuoli;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;284299.363;6646097.941;11002;0;Paikannettu Merivoimien sukeltakurssin 2006 ilmoittamien koordinattien mukaan.;Ei;09.11.01;28.01.11;0.00;0.00;k
Keuruu;249040013;Suolahti Majalahti;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;380314.534;6911275.804;0;0;;Ei;03.09.99;28.01.11;108.00;0.00;e
Keuruu;249040021;Suolahti Suojoki;historiallinen, keskiaikainen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;379511.857;6911683.64;0;0;;Ei;03.09.99;28.01.11;106.00;0.00;e
Eurajoki;1725;Vähä-Tippa;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;204525.543;6822066.878;11002;0;Sanallisen selostuksen mukaan paikannettu;Ei;29.11.01;28.01.11;0.00;0.00;k
Kustavi;1678;Beatris;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;194716.983;6716786.091;11001;0;Merkitty peruskarttaan;Ei;27.11.01;28.01.11;0.00;0.00;k
Parainen;1642;Björköholm;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;244072.274;6695234;11002;0;ilmoittajan piirroskartan mukaan paikannettu;Ei;26.11.01;28.01.11;0.00;0.00;k
Naantali;1618;Verkkokari;ei määritelty;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;225777.578;6703729.49;11003;0;Paikannetu ilmottajan piirroskartan mukaan, epätarkat paikkatiedot;Ei;23.11.01;28.01.11;0.00;0.00;k
Naantali;1619;Saloluoto;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;216593.268;6703180.669;11002;0;Paikannettu ilmoittajan piirroskartan mukaan;Ei;23.11.01;28.01.11;0.00;0.00;k
Parainen;1584;Långlands sund;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;192874.024;6658699.408;11002;0;Paikannettu karttaliitteen mukaan;Ei;22.11.01;28.01.11;0.00;0.00;k
Parainen;1586;Korpoström;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;200255.964;6676159.432;11004;0;epäselvän piirroskartan mukaan paikannettu, epätarkat paikkatiedot;Ei;22.11.01;28.01.11;0.00;0.00;k
Parainen;1587;Tistronkläppen;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;191791.438;6661617.229;11004;0;Paikannettu sanallisen selosteen mukaan, epätarkat paikkatiedot;Ei;22.11.01;28.01.11;0.00;0.00;k
Uusikaupunki;1696;Päiväkarit;ei määritelty;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;184953.703;6757168.834;11002;0;Paikannettu sanallisen selostuksen mukaan, epätarkat paikkatiedot;Ei;28.11.01;07.10.15;0.00;0.00;k
Naantali;1640;Palvan kirkkolahti;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;207012.054;6714968.886;11003;0;Paikannettu sanallisen selostuksen mukaan, epätarkat paikkatiedot;Ei;26.11.01;28.01.11;0.00;0.00;k
Parainen;1580;Lökholm;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;197801.892;6688086.63;11003;0;paikannettu käsin piirretyn kartan mukaan kansalaisen karttapaikan avulla, epätarkka paikkatieto.;Ei;21.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1541;Rävskäret a;ei määritelty;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;262193.211;6651832.525;11003;0;Paikannettu piirroskartan  (1968) mukaan (sekava);Ei;20.11.01;28.01.11;0.00;0.00;k
Parainen;1588;Sauko;ei määritelty;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;202477.971;6696701.197;11002;0;Paikannettu ilmoituksen piirroskartan mukaan;Ei;22.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1549;Vera;historiallinen;alusten hylyt;ei määritelty;muu kohde;223930.663;6635842.749;11002;0;Paikannettu karttaliitteen mukaan;Ei;20.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1514;Skrämmarn;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;257898.975;6644136.593;11002;0;Paikannettu ilmoituksen karttaliitteen mukaan;Ei;19.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1516;Hamnholmarna;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;241762.442;6647461.174;11002;0;Kartta Kaarinan sukeltajat ry/Jarkko Rastas;Ei;19.11.01;28.01.11;0.00;0.00;k
Raasepori;1461;Lindöviken;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;287344.072;6659184.702;11002;0;Paikannettu ilmoituksen karttaliitteen mukaan;Ei;15.11.01;28.01.11;0.00;0.00;k
Hanko;1417;Kustavi;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;272282.23;6637831.208;11003;0;"Paikannettu Vaheri-Hyvärinen-Saari-kirjan  s.293 sukelluskohdekartan mukaan; hieman epätarkka";Ei;13.11.01;28.01.11;0.00;0.00;k
Hanko;1418;Dödören;historiallinen;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;266420.583;6638351.968;11003;0;Paikannettu koordinaattien mukaan, epätarkat paikkatiedot;Ei;13.11.01;28.01.11;0.00;0.00;k
Salo;1509;Salonjoensuun vene;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;284313.091;6698608.848;11004;0;tiedossa vain, että vene on ollut Salonjokisuun alueella, paikannettu kansalaisen karttapaikan avulla karkeasti arvioiden;Ei;19.11.01;28.01.11;0.00;0.00;k
Raasepori;1448;Kalvholmin hylky;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;320136.953;6647148.703;11002;0;Paikannettu karttaliitteen mukaan (epätarkka,  mutta lahden pohjukka kuitenkin rajatulla alueella);Ei;14.11.01;28.01.11;0.00;0.00;k
Raasepori;1453;Långösund 3;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;317255.091;6650338.406;11002;0;Paikannettu ilmoituksen karttaliitteen mukaan;Ei;14.11.01;28.01.11;0.00;0.00;k
Raasepori;1457;Östergaddenin eteläpuoli;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;308244.801;6634052.909;11003;0;Paikannettu H2O kartan (mutta eivät löytäneet hylkyä) mukaan, epävarmat paikkatiedot;Ei;14.11.01;28.01.11;0.00;0.00;k
Hanko;1410;Carl;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;273394.819;6631092.919;11002;0;Paikannettu Vaheri-Hyvärinen-Saari-kirjan  s. 293 sukelluskohdekartan  mukaan;Ei;13.11.01;28.01.11;0.00;0.00;k
Hanko;1381;Ekholmenin hylky;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;283517.679;6646095.937;11002;0;paikannettu P. Nyrösen karttaliitteen mukaan;Ei;09.11.01;28.01.11;0.00;0.00;k
Hanko;1386;Lilla Tallholmen;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;276338.599;6638506.952;11002;0;Paikannettu ilmoituksen piirroskartan mukaan;Ei;12.11.01;28.01.11;0.00;0.00;k
Hanko;1352;Gloskär;historiallinen;alusten hylyt;ei määritelty;muu kohde;279570.304;6638187.095;11002;0;Paikannettu ilmoituksen kartan mukaan;Ei;07.11.01;28.01.11;0.00;0.00;k
Hanko;1353;Brännskär;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;291348.557;6640171.362;11002;0;Paikannettu ilmoituksen karttaliitteen mukaan;Ei;07.11.01;28.01.11;0.00;0.00;k
Helsinki;1321;Iso Mustasaari 5;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;388686.276;6669316.141;11002;0;Paikannettu Alopaeuksen Suomenlinnan koostekartan mukaan;Ei;06.11.01;28.01.11;0.00;0.00;k
Helsinki;1322;Kustaanmiekan hylky 1a;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;388255.455;6668445.489;11002;0;Paikannettu Harry Alopaeuksen koontikartan mukaan (Suomenlinnan mappi 1.);Ei;06.11.01;28.01.11;0.00;0.00;k
Helsinki;1326;Iso Mustasaari 7;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;388534.336;6669021.261;11002;0;Paikannettu karttaliitteen mukaan;Ei;06.11.01;28.01.11;0.00;0.00;k
Eurajoki;1730;Hyviluoto;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;206377.815;6818717.235;11002;0;Karttaliitteen mukaan paikannettu;Ei;29.11.01;28.01.11;0.00;0.00;k
Parainen;1682;Hindenburg;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;205185.992;6675290.807;11001;0;Merkitty peruskarttaan;Ei;27.11.01;28.01.11;0.00;0.00;k
Parainen;1645;Ångbåtsudden;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;234323.22;6688969.463;11002;0;Karttaliitteen mukaan  paikannettu;Ei;26.11.01;28.01.11;0.00;0.00;k
Naantali;1621;Kaltsaari;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;207374.006;6696009.501;11003;0;Paikannettu ilmoittajan piirroskartan mukaan, mutta hän ei tiedä tarkkaa sijaintia;Ei;23.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1511;Garpen 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;261921;6640854;11002;0;Paikannettu  VHR Diving/Mika Lemmetyinen kartan mukaan;Ei;19.11.01;10.01.18;0.00;0.00;k
Kemiönsaari;1512;Metskär;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;237269.258;6645560.919;11002;0;Paikannettu Sukeltajat ry:n kartan mukaan;Ei;19.11.01;28.01.11;0.00;0.00;k
Helsinki;1288;Särkkä 3;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;386932.981;6669709.974;11002;0;Paikannettu Pekka Paanasalon kartan (1992) mukaan;Ei;05.11.01;28.01.11;0.00;0.00;k
Helsinki;1292;Susisaaren hylky 1;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;387931.58;6668894.31;11002;0;Paikannettu ilmoittajien piirroskarttojen mukaan;Ei;05.11.01;28.01.11;0.00;0.00;k
Kirkkonummi;1263;Mäkiluoto lounaispuoli 2;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;351309.435;6644560.912;11002;0;Paikannettu Sukeltajat ry kartan mukaan;Ei;02.11.01;28.01.11;0.00;0.00;k
Kirkkonummi;1221;Torrörenin hylky;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;360658.648;6650104.729;11002;0;Paikannettu käsin piirretyn kartan mukaan kansalaisen karttapaikan avulla.;Ei;31.10.01;28.01.11;0.00;0.00;k
Kirkkonummi;1222;Svarthällen 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;365512.686;6651610.143;11002;0;Paikannettu ilmoituksen liitekartan mukaan;Ei;31.10.01;28.01.11;0.00;0.00;k
Kemiönsaari;1513;Keulakuvahylky;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;263120.885;6643525.866;11002;0;Paikannettu Kaarinan sukeltajat ry kartan (1998) mukaan;Ei;19.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1517;Måsklobben;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;244646.336;6637457.208;11002;0;Paikannettu Sukeltajat ry:n piirroskartan mukaan;Ei;19.11.01;28.01.11;0.00;0.00;k
Raasepori;1451;Långösund 1;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;317080.163;6650256.44;11002;0;Paikannettu Ilmoituksen karttaliitteen mukaan;Ei;14.11.01;28.01.11;0.00;0.00;k
