Kunta,C,100;Mjtunnus,N,10,0;Kohdenimi,C,100;Ajoitus,C,254;Tyyppi,C,100;Alatyyppi,C,100;Laji,C,100;I,N,31,15;P,N,31,15;Paikannust,N,10,0;Paikannu00,N,10,0;Selite,C,254;Tuhoutunut,C,100;Luontipvm,D;Muutospvm,D;Zala,N,14,2;Zylä,N,14,2;Vedenalain,C,1
Turku;1631;Turun linnan vene;keskiaikainen;alusten hylyt;hylyt (puu);poistettu kiinteä muinaisjäännös (ei rauhoitettu);237488.841;6709459.249;11002;0;Paikannettu sanallisen selostuksen mukaan;Ei;26.11.01;28.01.11;0.00;0.00;E
Kustavi;1636;Laupunen 1;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;194035.242;6719224.117;11002;0;Paikannettu ilmoittajan piirroskartan mukaan;Ei;26.11.01;28.01.11;0.00;0.00;k
Korsnäs;1791;Svettgrund;historiallinen;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;199050.043;6985951.075;11003;0;karttaliitteen mukaan paikannettu, epätarkat paikkatiedot;Ei;04.12.01;28.01.11;0.00;0.00;k
Sulkava;1902;Lohilahden hylky;historiallinen;alusten hylyt;hylyt (puu);muu kohde;590186.418;6831897.635;11002;0;Paikannettu karttapiirroksen mukaan;Ei;11.12.01;28.01.11;0.00;0.00;k
Puumala;1930;Tyryniemi 3;historiallinen;alusten hylyt;ei määritelty;muu kohde;573870.994;6831000.921;11002;0;karttaliitteen mukaan paikannettu;Ei;12.12.01;28.01.11;0.00;0.00;k
Mikkeli;1953;Juurisalmi 4;historiallinen;alusten hylyt;ei määritelty;muu kulttuuriperintökohde;514797.806;6823877.543;11002;0;karttaliitteen mukaan paikannettu;Ei;13.12.01;28.01.11;0.00;0.00;k
Savitaipale;1961;Raimlahti 2;historiallinen;alusten hylyt;ei määritelty;muu kohde;538008.608;6791683.598;11002;0;karttaliitteen mukaan paikannettu;Ei;14.12.01;28.01.11;0.00;0.00;k
Taipalsaari;1963;Vitsai 1;historiallinen;alusten hylyt;hylyt (puu);muu kohde;549474.028;6782056.533;11002;0;Pekka Hirvosen ja Kari Korhosen kartan perusteella paikannettu;Ei;14.12.01;28.01.11;0.00;0.00;k
Lappeenranta;1982;Uirinsaaren veneen hylky;historiallinen;alusten hylyt;hylyt (puu);muu kohde;553501.475;6767021.604;11002;0;Paikannettu ilmoittajan lähettämän kartan mukaan Kansalaisen karttapaikan avulla;Ei;17.12.01;28.01.11;0.00;0.00;k
Kemiönsaari;1556;Tallriksvarpen;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;237614.141;6641806.43;11004;0;Paikannettu sanallisen selostuksen mukaan, epätarkat paikkatiedot;Ei;21.11.01;28.01.11;0.00;0.00;k
Savonlinna;1890;Koululahti pohjoisosa;historiallinen;alusten hylyt;ei määritelty;muu kohde;599541.525;6861063.922;11002;0;karttaliitteen mukaan paikannettu;Ei;11.12.01;28.01.11;0.00;0.00;k
Savonlinna;1891;Rapaluoto 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;600000.342;6860235.258;11002;0;Paikannettu karttaliitteen mukaan;Ei;11.12.01;28.01.11;0.00;0.00;k
Savonlinna;1894;Pääskylahti 1;historiallinen;alusten hylyt;hylyt (puu);muu kohde;602066.514;6859215.684;11002;0;Paikannettu karttaliitteen mukaan;Ei;11.12.01;28.01.11;0.00;0.00;k
Sulkava;1899;Siikaniemi Raninvuoren hylky;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;565707.213;6846891.493;11002;0;Paikannettu karttaliitteen mukaan;Ei;11.12.01;28.01.11;0.00;0.00;k
Mikkeli;1922;Anttola Harmolansalmi 2;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;536229.169;6826410.616;11002;0;paikannettu karttaliitteen mukaan;Ei;12.12.01;28.01.11;0.00;0.00;k
Mikkeli;1925;Anttola Harmolansalmi 5;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;536167.197;6826382.621;11002;0;paikannettu karttaliitteen mukaan;Ei;12.12.01;28.01.11;0.00;0.00;k
Taipalsaari;1962;Riutansaari;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;554209.14;6779386.628;11002;0;piirroskartan mukaan paikannettu;Ei;14.12.01;28.01.11;0.00;0.00;k
Lappeenranta;1981;Kukkosaaret;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;564546.01;6771407.882;11002;0;paikannettu sanallisen selostuksen mukaan, hieman epätarkat paikkatiedot;Ei;17.12.01;28.01.11;0.00;0.00;k
Savonlinna;1991;Pihlajaniemi 2;historiallinen;alusten hylyt;ei määritelty;muu kohde;631886.431;6877050.624;11002;0;Paikannettu karttapiirustuksen mukaan (epäselvä);Ei;17.12.01;28.01.11;0.00;0.00;k
Iisalmi;1995;Luuniemi;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;509243.155;7046045.102;11002;0;Sanallisen selostuksen mukaan paikannettu;Ei;17.12.01;28.01.11;0.00;0.00;k
Ruokolahti;1984;Käyhkään Vipuniemen hylky;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;578415.244;6811313.874;11002;0;karttaliitteen perusteella paikannettu;Ei;17.12.01;28.01.11;0.00;0.00;k
Helsinki;2090;Iso Mustasaari 2;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;388380.395;6669758.962;11002;0;Paikannettu Harry Alopaeuksen yhteenvetokartan (24.1.1978) mukaan;Ei;02.01.02;28.01.11;0.00;0.00;k
Toivakka;2252;Ristiselän Mämmisaaren hylky;historiallinen;alusten hylyt;ei määritelty;muu kohde;437531.653;6881605.974;11002;0;Paikannettu karttamerkinnän  perusteella.;Ei;03.11.04;28.01.11;0.00;0.00;k
Kemiönsaari;1563;Dömmaskär;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;247600.181;6631405.66;11002;0;Vaheri-Hyvärinen-Saari s. 292 sukelluskohdekartan perusteella;Ei;21.11.01;28.01.11;0.00;0.00;k
Parainen;1565;Björkholm;historiallinen;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;219582.154;6686045.564;11002;0;Pentti Kangassuon piirroskartan mukaan paikannettu (hieman epätarkka);Ei;21.11.01;28.01.11;0.00;0.00;k
Parainen;1594;Degerholm;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;187951.825;6692647.753;11002;0;Paikannettu karttaliitteen mukaan;Ei;22.11.01;28.01.11;0.00;0.00;k
Parainen;1597;Mossalan salmen hylky;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;190406.83;6694218.134;11002;0;Paikannettu Tyyne Tuomisen sanallisen selostuksen mukaan;Ei;22.11.01;28.01.11;0.00;0.00;k
Parainen;1670;Harald Haarfager;historiallinen;alusten hylyt;hylyt (metalli);kiinteä muinaisjäännös;178319.979;6636079.417;11002;0;Paikannettu GPS-koordinaattien mukaan (Veli-Pekka Paatero,Örön linnake);Ei;27.11.01;28.01.11;0.00;0.00;k
Merikarvia;1758;Ahti;historiallinen;alusten hylyt;hylyt (puu);muu kohde;199851.167;6877729.514;11004;0;Paikannettu sanallisen selostuksen mukaan, epätarkat paikkatiedot;Ei;30.11.01;28.01.11;0.00;0.00;k
Mäntsälä;2048;Hanhioja 2;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;417882.21;6734947.884;11002;0;Paikannettu karttaliitteen mukaan paikannettu;Ei;27.12.01;28.01.11;0.00;0.00;k
Helsinki;2085;Susisaaren hylky 3;ei määritelty;alusten hylyt;ei määritelty;muu kohde;388366.404;6669041.247;11002;0;Paikannettu Teredo Navaliksen sukellustutkimuskartan (1987) perusteella;Ei;02.01.02;28.01.11;0.00;0.00;k
Hämeenlinna;2224;Kotkajärvi;ei määritelty;alusten hylyt;ruuhet;löytöpaikka;336261.881;6766911.641;11002;0;Paikannettu Karttaliitteen mukaan;Ei;23.01.02;28.01.11;0.00;0.00;k
Parainen;2250;Airisto 3;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;229387.152;6698948.434;11001;0;Paikannettu MKL:n merenmittaustoimiston ilmoittamien koordinaattien ja tarkastussukelluskartan perusteella;Ei;03.11.04;28.01.11;0.00;0.00;k
Parainen;2253;Hessund;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;242708.808;6696676.414;11001;0;Paikannettu merenmittaustoimiston ilmoittamien koordinaattien perusteella.;Ei;03.11.04;28.01.11;0.00;0.00;k
Kirkkonummi;2306;M-97;historiallinen;alusten hylyt;hylyt (metalli);muu kulttuuriperintökohde;356759.275;6637593.737;11001;0;Paikannettu MKL:n merenmittaustoimiston ilmoittamien koordinaattien perusteella.;Ei;15.11.04;28.01.11;0.00;0.00;k
Hanko;2322;Märagrundet;historiallinen;alusten hylyt;ei määritelty;muu kohde;279897.174;6638190.096;11002;0;Paikannettu J. Sulkun ilmoittamien koordinaattien ja kartan perusteella.;Ei;19.11.04;28.01.11;0.00;0.00;k
Parainen;1671;Draken;historiallinen;alusten hylyt;hylyt (puu);muu kohde;184300.568;6639246.172;11002;0;Paikannettu karttaliitteen mukaan;Ei;27.11.01;28.01.11;0.00;0.00;k
Kajaani;2258;Valkealampi;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;532354.631;7110671.176;11002;0;Paikannettu karttaliitteen perusteella.;Ei;05.11.04;28.01.11;187.00;0.00;k
Kirkkonummi;2302;Juktenskobben;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;367407.922;6652266.888;11002;0;Paikannettu ilmoittajan antamien koordinaattitietojen ja kartan perusteella.;Ei;12.11.04;28.01.11;0.00;0.00;k
Helsinki;2104;Länsi-Mustasaaren hylky 1;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;387541.732;6669750.96;11002;0;Paikannettu piirroskartan mukaan (Hacklin s. 2 (se jälkimmäinen niistä));Ei;03.01.02;28.01.11;0.00;0.00;k
Helsinki;2125;Iso Mustasaari 9;historiallinen;alusten hylyt;ei määritelty;muu kohde;388294.437;6669115.224;11002;0;Paikannettu Alopaeuksen kartan mukaan;Ei;04.01.02;28.01.11;0.00;0.00;k
Helsinki;2226;Niinisaari 2;historiallinen;alusten hylyt;hylyt (puu);muu kohde;399495.894;6676871.155;11001;0;Paikannettu GPS koordinaattien mukaan;Ei;23.01.02;28.01.11;0.00;0.00;k
Savonlinna;1896;Hirvolanselkä Hiekkasaari;historiallinen;alusten hylyt;ei määritelty;muu kohde;614947.423;6835712.207;11002;0;Paikannettu sanallisen selitteen mukaan;Ei;11.12.01;28.01.11;0.00;0.00;k
Puumala;1928;Kortelahden hylky 1;historiallinen;alusten hylyt;hylyt (puu);muu kohde;575399.378;6830508.133;11002;0;karttaliitteen perusteella paikannettu;Ei;12.12.01;28.01.11;0.00;0.00;k
Puumala;1929;Kortelahden hylky 2;historiallinen;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;575125.488;6830487.136;11002;0;karttaliitteen mukaan paikannettu;Ei;12.12.01;28.01.11;0.00;0.00;k
Mikkeli;1954;Juurisalmi 5;historiallinen;alusten hylyt;ei määritelty;muu kulttuuriperintökohde;514796.804;6823859.546;11002;0;paikannettu karttaliitteen mukaan;Ei;13.12.01;28.01.11;0.00;0.00;k
Ruokolahti;1983;Käyhkään kanava;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;581430.034;6811191.938;11002;0;valokuvakartan mukaan paikannettu;Ei;17.12.01;28.01.11;0.00;0.00;k
Savonlinna;1990;Pihlajaniemi 1;historiallinen;alusten hylyt;ei määritelty;muu kohde;631256.678;6877540.417;11003;0;Paikannettu karttapiirustuksen mukaan (epäselvä);Ei;17.12.01;28.01.11;0.00;0.00;k
Kuopio;2015;Matkusjärvi 1;ei määritelty;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;530809.782;6965450.613;11002;0;karttaliitteen ja sanallisen selostuksen mukaan paikannettu;Ei;18.12.01;28.01.11;0.00;0.00;k
Hanko;2254;Länsanskär;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;264347.415;6638575.858;11001;0;Paikannettu MKL:n merenmittaustoimiston ilmoittamien koordinaattitietojen perusteella.;Ei;03.11.04;28.01.11;0.00;0.00;k
Salo;2311;Helinokka;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;275885.526;6688222.972;11002;0;Paikannettu J. Sulkun ilmoittamien koordinaattien ja kartan perusteella;Ei;17.11.04;28.01.11;0.00;0.00;k
Taipalsaari;1964;Vitsai 2;historiallinen;alusten hylyt;ei määritelty;muu kohde;549381.07;6782083.517;11002;0;Kai Kaartisen karttaliitteen mukaan paikannettu (toinen kaksoishylystä);Ei;14.12.01;28.01.11;0.00;0.00;k
Lappeenranta;1985;Hinkanranta;historiallinen;alusten hylyt;hylyt (puu);poistettu kiinteä muinaisjäännös (ei rauhoitettu);584394.974;6781045.095;11002;0;Paikannettu karttaliitteen mukaan paikannettu;Ei;17.12.01;28.01.11;0.00;0.00;k
Savonlinna;1989;Myhkyräsaari;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;632382.228;6876488.844;11002;0;karttaliitteen mukaan paikannettu;Ei;17.12.01;28.01.11;0.00;0.00;k
Parainen;2387;Sundkläpparna;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;187657.201;6642790.768;11002;0;Paikannettu J. Sulkun ilmoittamien GPS-koordinaattien ja kartan perusteella.;Ei;10.12.04;28.01.11;0.00;0.00;k
Kuopio;2411;Petynsaari;ei määritelty;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;520710.765;6985062.679;11001;0;Paikannettu MKL:n merenmittausyksikön ilmoittamien koordinaattien perusteella.;Ei;04.02.05;28.01.11;0.00;0.00;k
Kaskinen;2460;Hilkka;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;198905.341;6926446.957;11002;0;Paikannettu ilmoittajan antamien koordinaattitietojen ja sanallisen kuvauksen perusteella.;Ei;09.03.05;28.01.11;0.00;0.00;k
Merikarvia;1760;Isopoda;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;200251.001;6878961.023;11004;0;Paikannettu sanallisen selostuksen mukaan, epätarkat paikkatiedot;Ei;30.11.01;28.01.11;0.00;0.00;k
Merikarvia;1761;Spriilaiva;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;195857.782;6876168.126;11002;0;Paikannettu sanallisen selostuksen mukaan, epätarkat paikkatiedot. Paikannusta tarkennettu GPS-koordinaattien perusteella.;Ei;30.11.01;28.01.11;0.00;0.00;k
Korsnäs;1790;Harvungön;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;197629.665;6971198.994;11003;0;Paikannettu karttaliitteen mukaan;Ei;04.12.01;28.01.11;0.00;0.00;k
Maalahti;1792;Nisskallanin itäpuoli;historiallinen;alusten hylyt;hylyt (puu);muu kohde;189298.921;6993429.038;11003;0;Paikannettu karttaliitteen mukaan, hieman epätarkat paikkatiedot;Ei;04.12.01;28.01.11;0.00;0.00;k
Maalahti;1793;Maisik;historiallinen;alusten hylyt;ei määritelty;muu kohde;195183.564;6993440.059;11003;0;Paikannettu karttapiirroksen mukaan, epätarkat paikkatiedot;Ei;04.12.01;28.01.11;0.00;0.00;k
Maalahti;1799;Kalvskäret;historiallinen;alusten hylyt;hylyt (puu);muu kohde;201772.912;6993923.891;11003;0;epäselvä paikkatieto, käsin piirretyn suurpiirteisen karttaliitteen mukaan paikannettu kansalaisen karttapaikan avulla;Ei;04.12.01;28.01.11;0.00;0.00;k
Espoo;2364;Meerlammen ruuhi 2;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;366285.203;6686303.195;11003;0;Paikannettu  karttaliitteen mukaan.;Ei;29.11.04;28.01.11;0.00;0.00;k
Kuopio;2413;Säyneensalo;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;538379.709;6972136.951;11001;0;Paikannettu MKL:n merenmittausyksikön ilmoittamien koordinaattien perusteella.;Ei;04.02.05;28.01.11;0.00;0.00;k
Leppävirta;2415;Hanhisalo;ei määritelty;alusten hylyt;ei määritelty;muu kohde;535310.045;6946088.423;11001;0;Paikannettu MKL:n merenmittausyksikön ilmoittamien koordinaattien perusteella.;Ei;04.02.05;28.01.11;0.00;0.00;k
Kaskinen;2462;Tamarind;historiallinen;alusten hylyt;hylyt (metalli);kiinteä muinaisjäännös;196374.357;6925616.279;11002;0;Paikannettu ilmoittajan antamien koordinaattitietojen ja sanallisen kuvauksen perusteella.;Ei;09.03.05;28.01.11;0.00;0.00;k
Leppävirta;2463;Oravikoski Pitkälahti;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;533595.76;6938457.492;11002;0;Paikannettu ilmoittajan sanallisen kuvauksen perusteella.;Ei;15.03.05;28.01.11;0.00;0.00;k
Sauvo;2384;Päisterpää;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;253532.531;6683422.789;11001;0;Paikannettu Merenmittaustoimiston ilmoittamien koordinaattien perusteella.;Ei;01.12.04;28.01.11;0.00;0.00;k
Helsinki;2385;Yliskylänlahti;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;391453.142;6673099.629;11002;0;Paikannettu karttapiirroksen perusteella.;Ei;01.12.04;28.01.11;0.00;0.00;k
Nurmijärvi;2056;Vaaksinjärvi 3;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;372249.693;6707753.598;11003;0;Paikannettu sanallisen selostuksen mukaan, epätarkat paikkatiedot;Ei;27.12.01;28.01.11;0.00;0.00;k
Lahti;2075;Niemen hylky I;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;426774.497;6763752.341;11002;0;paikannettu karttaliitteen perusteella;Ei;31.12.01;28.01.11;0.00;0.00;k
Korsnäs;2221;Norrströmmen;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;198298.408;6969598.632;11002;0;Paikannettu karttaliitteen mukaan;Ei;16.01.02;28.01.11;0.00;0.00;k
Loviisa;1152;Hamnskär;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;461471.96;6676239.711;11003;3;Paikannettu sanallisen selitteen mukaan, epätarkat paikkatiedot;Ei;26.10.01;09.03.18;0.00;0.00;k
Loviisa;1155;Gyttjeviken;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;461100.007;6697396.196;11001;0;Tarkastussukelluskertomuksen karttaliitteiden mukaan paikannettu;Ei;26.10.01;28.01.11;0.00;0.00;k
Espoo;1178;Kaitalampi;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;370963.3;6689866.791;11002;0;Täsmällisen tarkkaa paikkaa mistä ruuhi on nostettu, ei ole tiedossa , mutta löytöpaikan sijainti ei todennäköisesti ole kaukana nostopaikasta;Ei;29.10.01;28.01.11;0.00;0.00;k
Kirkkonummi;1238;Lergrund 1;ei määritelty;alusten hylyt;hylyt (puu);löytöpaikka;361667.24;6649825.842;11003;0;Paikannettu Sukeltajat ry:n kartan mukaan kansalaisen karttapaikan avulla;Ei;01.11.01;28.01.11;0.00;0.00;k
Helsinki;2227;Niinisaari 3;historiallinen;alusten hylyt;ei määritelty;muu kohde;399615.839;6676881.154;11001;0;Paikannettu GPS koordinaattien mukaan;Ei;23.01.02;28.01.11;0.00;0.00;k
Parainen;2249;Lessor;historiallinen;alusten hylyt;hylyt (puu);muu kohde;239866.947;6698807.541;11001;0;Paikannettu MKL:n merenmittaustoimiston ilmoittamien koordinaattien ja tarkastussukelluskartan perusteella.;Ei;03.11.04;28.01.11;0.00;0.00;k
Sipoo;2251;Mjölkviken;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;416168.167;6680259.87;11001;0;Paikannettu P. Paanasalon ilmoittamien koordinaattien ja karttapiirroksen mukaan.;Ei;03.11.04;28.01.11;0.00;0.00;k
Loviisa;1147;Svartholm koillisranta;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;461430.885;6693942.587;11001;0;Paikannettu Valkon VPK kartan ja sanallisen selitteen mukaan;Ei;26.10.01;28.01.11;0.00;0.00;k
Loviisa;1150;Tiiskerin hylky 1;historiallinen;alusten hylyt;hylyt (puu);muu kohde;458810.055;6670049.192;11002;0;Kartta Loviisan Merisukeltajat ry/Jukka Kippola;Ei;26.10.01;28.01.11;0.00;0.00;k
Espoo;1171;Nuuksio Orajärvi 1;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;366843.962;6688357.372;11003;0;Paikannettu sanallisen selostuksen mukaan, tarkat sijaintitiedot puuttuvat;Ei;29.10.01;28.01.11;0.00;0.00;k
Espoo;1180;Soukanniemi Staffan 3;historiallinen;alusten hylyt;ei määritelty;muu kohde;370259.699;6667241.878;11002;0;Paikannettu Topi Sellman/Tredo Navalis ry kartan  (1998) mukaan;Ei;29.10.01;28.01.11;0.00;0.00;k
Kirkkonummi;1182;Rågrund 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;354847.996;6647272.83;11002;0;Paikannettu Sukeltajat ry (Jari Hyvärinen)  kartan mukaan;Ei;29.10.01;28.01.11;0.00;0.00;k
Kirkkonummi;1247;Räfsö;historiallinen;alusten hylyt;hylyt (puu);muu kohde;359518.092;6652757.653;11002;0;Paikannettu ilmoituksen karttaliitteen mukaan;Ei;01.11.01;28.01.11;0.00;0.00;k
Helsinki;1274;Läntinen Pihlajasaari 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;384330.034;6668343.508;11002;0;Paikannettu Sukeltajat ry/Jari Hyvärinen kartan mukaan;Ei;02.11.01;28.01.11;0.00;0.00;k
Helsinki;1275;Folkkarihylky;historiallinen;alusten hylyt;hylyt (puu);muu kohde;390023.755;6666241.38;11001;0;merkitty peruskartalle;Ei;02.11.01;28.01.11;0.00;0.00;k
Helsinki;1278;Matosaari 2;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;393538.321;6670109.847;11002;0;Paikannettu ilmoituksen karttaliite;Ei;02.11.01;28.01.11;0.00;0.00;k
Helsinki;1303;Harmaja 2;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;387518.77;6664766.963;11002;0;Paikannettu sanallisen selostuksen mukaan;Ei;05.11.01;28.01.11;0.00;0.00;k
Hanko;1336;Mulan;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;279332.41;6636507.774;11001;0;Paikannettu GPS-koordinaattien mukaan;Ei;07.11.01;28.01.11;0.00;0.00;k
Hanko;1340;Pyhämaa;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;292113.218;6646266.912;11001;0;merkitty peruskarttaan;Ei;07.11.01;28.01.11;0.00;0.00;k
Kirkkonummi;1185;Träskön tynnyrihylky;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;353235.635;6649704.85;11002;0;Paikannettu ilmoituksen piirroskartan mukaan;Ei;30.10.01;28.01.11;0.00;0.00;k
Inkoo;1000030970;Barösund Verkviken;historiallinen, keskiaikainen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;324646;6650368;0;0;;Ei;21.06.17;;0.00;0.00;k
Parainen;2228;Gråharuna;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;185039.239;6644666;11001;0;Paikannettu GPS koordinaattien ja karttaliitteen mukaan;Ei;23.01.02;28.01.11;0.00;0.00;k
Hanko;2261;Själsten pohjoisranta;ei määritelty;alusten hylyt;ei määritelty;muu kohde;268552.726;6638199.035;11003;0;Paikannus ilmoittajan karttapiirroksen perusteella.;Ei;05.11.04;28.01.11;0.00;0.00;k
Hanko;2321;Örenin veneen hylky;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;285337.008;6633908.845;11003;0;Paikannettu J. Sulkun ilmoittamien koordinaattien ja karttapiirroksen perusteella.;Ei;19.11.04;28.01.11;0.00;0.00;k
Raasepori;2458;Iso Simijärven ruuhi;ei määritelty;alusten hylyt;ruuhet;löytöpaikka;310021.874;6675047.443;11003;0;Paikannettu ilmoittajan sanallisen kuvauksen perusteella.;Ei;04.03.05;28.01.11;0.00;0.00;k
Salo;2312;Tattarinnokka;ei määritelty;alusten hylyt;ei määritelty;muu kohde;277622.822;6689892.312;11003;0;Paikannettu J. Sulkun arvion mukaan.;Ei;17.11.04;28.01.11;0.00;0.00;k
Taipalsaari;2019;Ilkonsaarten hylky;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;568948.163;6787836.285;11002;0;paikannettu sanallisen selostuksen mukaan, hieman epätarkat paikkatiedot;Ei;19.12.01;28.01.11;0.00;0.00;k
Tuusniemi;2023;Pieni Vihtalahti;historiallinen;alusten hylyt;hylyt (puu);muu kohde;574754.129;6955196.915;11002;0;paikannettu karttaliitteen perusteella;Ei;19.12.01;28.01.11;0.00;0.00;k
Raasepori;2043;Lilla Tregren 1;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;306477.303;6675192.36;11002;0;Karttaliitteen mukaan paikannettu;Ei;27.12.01;28.01.11;0.00;0.00;k
Lahti;2078;Vesijärvi Teivaala;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;426199.735;6762476.849;11003;0;paikannettu sanallisen selostuksen mukaan, epätarkat paikkatiedot;Ei;31.12.01;28.01.11;0.00;0.00;k
Helsinki;1000018670;Palosaari 2;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;388633;6672748;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;07.04.11;;0.00;0.00;k
Kirkkonummi;2309;Klaus Oldendorf;historiallinen;alusten hylyt;hylyt (metalli);muu kulttuuriperintökohde;351284.492;6635213.661;11001;0;Paikannettu MKL:n Merenmittaustoimiston koordinaattitietojen perusteella.;Ei;17.11.04;28.01.11;0.00;0.00;k
Raasepori;1342;Slottholmen länsipuoli;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;281471.457;6654169.69;11002;0;Paikannettu Alopaeuksen piirroskartan (1969) mukaan;Ei;07.11.01;28.01.11;0.00;0.00;k
Hanko;1345;Joskär 2;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;290542.884;6639984.431;11002;0;Paikannettu ilmoittajan liitekartan mukaan;Ei;07.11.01;28.01.11;0.00;0.00;k
Tampere;2135;Mustalahti 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;326929;6823399;11003;0;paikannettu sanallisen selostuksen mukaan, puutteelliset paikkatiedot;Ei;09.01.02;15.12.17;0.00;0.00;k
Helsinki;2225;Niinisaari 1;historiallinen;alusten hylyt;ei määritelty;muu kohde;399560.864;6676851.159;11002;0;Paikannettu GPS koordinaattien mukaan;Ei;23.01.02;28.01.11;0.00;0.00;k
Hanko;2304;Högskär itäpuoli;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;270847.816;6636214.85;11003;0;Paikannettu Urheilusukeltajien epäselvän karttapiirroksen mukaan.;Ei;12.11.04;28.01.11;0.00;0.00;k
Kemiönsaari;2348;Furuskär;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;241207.536;6672130.268;11002;0;Paikannettu J. Sulkun ilmoittamien koordinaattien ja kartan perusteella.;Ei;26.11.04;28.01.11;0.00;0.00;k
Parainen;2351;Hamnön;historiallinen;alusten hylyt;ei määritelty;muu kohde;170226.992;6681395.174;11002;0;Paikannettu J. Sulkun ilmoittamien koordinaattien ja kartan perusteella.;Ei;26.11.04;28.01.11;0.00;0.00;k
